MP-ID,Pretty Formula,Band gap,Energy above Hull,Composition,F-Block,Noble-Gas,Gravimetric Capacity,Unfit elements,Gaseous Compounds,ICSD_IDS,Experimental ICSD ID,Space Group Symbol,Crystal System
mp-779345,Li11V6O5F19,0.6938,0.078458168262176,Li11 V6 O5 F19,0,0,195.390661200889,0,0,[],1,P1,triclinic
mp-779874,Li2MnF4,3.3381,0.086977036428571,Li2 Mn1 F4,0,0,1110.39250332368,0,0,[],1,P2_1/c,monoclinic
mp-780097,Fe3(OF2)2,0.2654,0.11125115259258,Fe3 O2 F4,0,0,583.607991545733,0,0,[],1,C2/m,monoclinic
mp-780108,Co2O3F,0,0.107713040416665,Co2 O3 F1,0,0,869.833368033987,1,0,[],1,C2/m,monoclinic
mp-780155,Li9Fe3(OF7)2,1.8079,0.047834399781753,Li9 Fe3 O2 F14,0,0,304.556734219411,0,0,[],1,P-1,triclinic
mp-780461,Mn6O5F7,0,0.084557956736109,Mn6 O5 F7,0,0,296.343206437519,0,0,[],1,P1,triclinic
mp-780508,Fe5O7F3,0,0.118473114333337,Fe5 O7 F3,0,0,358.755592294667,0,0,[],1,P2_1,monoclinic
mp-780702,Mn6O5F7,0.0542,0.050795942847221,Mn6 O5 F7,0,0,296.343206437519,0,0,[],1,P1,triclinic
mp-780855,Fe4O7F,0,0.144113886180558,Fe4 O7 F1,0,0,453.757634015048,0,0,[],1,Pc,monoclinic
mp-780875,Mn8O13F3,0,0.07215048546875,Mn8 O13 F3,0,0,228.249650228419,0,0,[],1,P1,triclinic
mp-780936,Li5V6O5F19,0.2493,0.049878569325394,Li5 V6 O5 F19,0,0,205.805385762301,0,0,[],1,P1,triclinic
mp-781602,Mn8O13F3,0,0.073524723385417,Mn8 O13 F3,0,0,228.249650228419,0,0,[],1,P1,triclinic
mp-781864,LiCu2F5,0.4979,0.13416406765625,Li1 Cu2 F5,0,0,702.106707854132,0,0,[],1,P4_2/nbc,tetragonal
mp-7824,K2ReF6,1.7148,0,K2 Re1 F6,0,0,424.953862484304,0,0,[1528],0,P-3m1,trigonal
mp-782656,Co2OF3,0.0398,0.099953180416668,Co2 O1 F3,0,0,842.497945295263,1,0,[],1,C2/m,monoclinic
mp-782725,MnOF,0.1215,0.085362492916667,Mn1 O1 F1,0,0,1787.94110711462,0,0,[],1,P1,triclinic
mp-8191,Cs2PtF6,2.7063,0.011625542222221,Cs2 Pt1 F6,0,0,279.707958381814,1,0,[35107],0,P-3m1,trigonal
mp-8301,Gd2CF2,0.7283,0,Gd2 C1 F2,1,0,441.143178608626,0,0,[33912],0,P-3m1,trigonal
mp-8398,CsYbF3,7.431,0,Cs1 Yb1 F3,1,0,443.047630252914,0,0,[49579],0,Pm-3m,cubic
mp-8447,K5Ti3F14,0.1913,0,K5 Ti3 F14,0,0,265.754311928828,0,0,[60243],0,P4/mnc,tetragonal
mp-849219,V3(O2F)2,0.4992,0.08672370888889,V3 O4 F2,0,0,631.036379018068,0,0,[],1,Amm2,orthorhombic
mp-849291,Li5Fe3F14,3.3431,0.038317505138889,Li5 Fe3 F14,0,0,343.430030426739,0,0,[],1,Pna2_1,orthorhombic
mp-849483,Fe10O9F11,1.1691,0.083266850999989,Fe10 O9 F11,0,0,176.426629658527,0,0,[],1,P1,triclinic
mp-849549,Mn12O5F19,0,0.064191351979162,Mn12 O5 F19,0,0,146.152162473104,0,0,[],1,P1,triclinic
mp-849591,Li11V6O5F19,1.0548,0.060126156067055,Li11 V6 O5 F19,0,0,195.390661200889,0,0,[],1,P1,triclinic
mp-849665,Mn3OF8,0,0.066304788750003,Mn3 O1 F8,0,0,483.17197265444,0,0,[],1,P1,triclinic
mp-849734,LiVF4,2.3189,0.092633279166663,Li1 V1 F4,0,0,1201.11046427096,0,0,[],1,C2/c,monoclinic
mp-850204,Li5Co2O2F5,0.0382,0.089302536071429,Li5 Co2 O2 F5,0,0,575.185044862609,1,0,[],1,I4/mmm,tetragonal
mp-850341,Fe4O3F5,1.5857,0.089609689999991,Fe4 O3 F5,0,0,438.900306241051,0,0,[],1,Cm,monoclinic
mp-850355,Li4Co(OF)2,1.8528,0.098010361499998,Li4 Co1 O2 F2,0,0,1026.21178869293,1,0,[],1,C2/m,monoclinic
mp-850401,Li2FeOF3,2.341,0.052562040039683,Li2 Fe1 O1 F3,0,0,1126.66890774752,0,0,[],1,P4_1,tetragonal
mp-850877,Mn8O13F3,0,0.07555341421875,Mn8 O13 F3,0,0,228.249650228419,0,0,[],1,P1,triclinic
mp-850953,Mn12O5F19,0,0.069740639201386,Mn12 O5 F19,0,0,146.152162473104,0,0,[],1,P1,triclinic
mp-850966,Mn6O5F7,0,0.077165812013886,Mn6 O5 F7,0,0,296.343206437519,0,0,[],1,P1,triclinic
mp-850991,Mn6O7F5,0,0.071412779375003,Mn6 O7 F5,0,0,299.655571637113,0,0,[],1,P1,triclinic
mp-851033,LiCo3OF5,2.0078,0.084414563999994,Li1 Co3 O1 F5,0,0,545.580389826757,1,0,[],1,P1,triclinic
mp-862701,CsCaCO3F,4.5255,0,Cs1 Ca1 C1 O3 F1,0,0,638.118648186868,0,0,[],1,P-62m,hexagonal
mp-863372,LiCu2F6,0,0.021086557222221,Li1 Cu2 F6,0,0,648.32587389796,0,0,[],1,P2_1/c,monoclinic
mp-867534,LiAg2F4,0,0.063827575000001,Li1 Ag2 F4,0,0,538.385022679375,0,0,[],1,Ccce,orthorhombic
mp-867548,Li4VF6,3.3878,0.055920096818182,Li4 V1 F6,0,0,834.475377930058,0,0,[],1,P2_1/c,monoclinic
mp-867691,Li4Mn3OF11,1.0946,0.044441936118409,Li4 Mn3 O1 F11,0,0,385.094385180124,0,0,[],1,P1,triclinic
mp-867808,CoF3,0.4741,0.297754142708333,Co1 F3,0,0,1387.06299422325,1,0,[29133],0,P321,trigonal
mp-867938,SnH6(NF2)2,5.0835,0,Sn1 H6 N2 F4,0,0,702.905794369295,0,0,[51032],0,P2_1/c,monoclinic
mp-8708,Mg(AuF4)2,2.0243,0,Mg1 Au2 F8,0,0,281.993769945311,1,0,[65287],0,P2_1/c,monoclinic
mp-8858,RbCuF3,0,0,Rb1 Cu1 F3,0,0,780.548386268248,0,0,[69656],0,I4/mcm,tetragonal
mp-8962,Rb2HgF4,2.1853,0,Rb2 Hg1 F4,0,0,359.31418227593,1,0,[72352],0,I4/mmm,tetragonal
mp-8985,Ba2YC2(O2F)3,5.264,0,Ba2 Y1 C2 O6 F3,0,0,297.462214656846,0,0,[72733],0,Pbcn,orthorhombic
mp-9488,SmOF,4.6628,0,Sm1 O1 F1,1,0,867.511360320222,0,0,[81948],0,R-3m,trigonal
mp-973225,Na2CrH2F8,1.5919,0,Na2 Cr1 H2 F8,0,0,638.149065057234,1,0,[418677],0,C2/m,monoclinic
mp-977417,NdB2HF10,7.7874,0,Nd1 B2 H1 F10,1,0,450.601958820518,0,0,[420467],0,P2_1/m,monoclinic
mp-989191,SbOF,1.9008,0.191703172916668,Sb1 O1 F1,0,0,1025.7862557237,0,0,[],1,P4/nmm,tetragonal
mp-989400,Rb2NaGaF6,5.889,0,Rb2 Na1 Ga1 F6,0,0,425.803717481516,0,0,[],1,Fm-3m,cubic
mp-989523,Rb2NaAsF6,4.5732,0,Rb2 Na1 As1 F6,0,0,420.021671964781,1,0,[],1,Fm-3m,cubic
mp-989525,Cs2RbPbF6,0,0,Cs2 Rb1 Pb1 F6,0,0,239.1187855327,1,0,[],1,Fm-3m,cubic
mp-989537,Cs2TlInF6,4.1249,0,Cs2 Tl1 In1 F6,0,0,230.042055221301,0,0,[],1,Fm-3m,cubic
mp-989543,Cs2BrCl6F,1.2145,0,Cs2 Br1 Cl6 F1,0,0,278.474682703686,0,0,[],1,Fm-3m,cubic
mp-989556,Cs2NaPbF6,0,0,Cs2 Na1 Pb1 F6,0,0,263.610406832284,1,0,[],1,Fm-3m,cubic
mp-989578,Rb2NaInF6,5.2472,0,Rb2 Na1 In1 F6,0,0,380.381233726737,0,0,[],1,Fm-3m,cubic
mp-989618,Cs2RbGaF6,6.1147,0,Cs2 Rb1 Ga1 F6,0,0,300.565172994145,0,0,[],1,Fm-3m,cubic
mp-997035,CuO2F,0.8183,0.063270771328125,Cu1 O2 F1,0,0,1403.83711567095,0,0,[],1,C222_1,orthorhombic
mp-997552,Fe5O7F3,0,0.119926419666673,Fe5 O7 F3,0,0,358.755592294667,0,0,[],1,Pm,monoclinic
mp-998234,CsTlF3,0,0.064821943999998,Cs1 Tl1 F3,0,0,407.82789994363,0,0,[],1,R3m,trigonal
mp-998235,CsTlF3,0,0.064264035999998,Cs1 Tl1 F3,0,0,407.82789994363,0,0,[],1,Amm2,orthorhombic
mp-998358,MgAgF3,2.1161,0.033178936000001,Mg1 Ag1 F3,0,0,850.036220846887,0,0,[],1,Pm-3m,cubic
mp-998418,MgAgF3,2.1901,0.018142888000001,Mg1 Ag1 F3,0,0,850.036220846887,0,0,[],1,R-3c,trigonal
mp-998759,TlCdF3,3.7002,0,Tl1 Cd1 F3,0,0,430.188637910345,1,0,[],1,Pbam,orthorhombic
mvc-10059,Ba2W2F11,2.8534,0.056611401377778,Ba2 W2 F11,0,0,188.883937101747,0,0,[],1,P3_2,trigonal
mvc-10313,BaMgCuF7,0.3054,0,Ba1 Mg1 Cu1 F7,0,0,448.952806188226,0,0,[],1,P2_1/c,monoclinic
mvc-10353,BaMgBiF7,5.386,0.042236225750001,Ba1 Mg1 Bi1 F7,0,0,319.300257520582,0,0,[],1,P2_1/c,monoclinic
mvc-10590,BaMgVF7,2.4223,0,Ba1 Mg1 V1 F7,0,0,465.328508279524,0,0,[],1,P2_1/c,monoclinic
mvc-10607,BaMgNiF7,1.6007,0.047670394999996,Ba1 Mg1 Ni1 F7,0,0,455.118955890636,1,0,[],1,P2_1/c,monoclinic
mvc-10621,BaCaMoF7,4.9538,0.02265610125,Ba1 Ca1 Mo1 F7,0,0,395.733732058629,0,0,[],1,P2_1/c,monoclinic
mvc-10623,BaZnWF7,3.1929,0.015577907625,Ba1 Zn1 W1 F7,0,0,309.489775033699,0,0,[],1,P2_1/c,monoclinic
mvc-10631,BaCaNiF7,1.9797,0.073797538249997,Ba1 Ca1 Ni1 F7,0,0,435.669376345227,1,0,[],1,P2_1/c,monoclinic
mvc-10634,BaWF7,3.276,0,Ba1 W1 F7,0,0,354.063499946445,0,0,[],1,P2_1/c,monoclinic
mvc-12792,ZnCr2F12,1.3038,0.004550119999988,Zn1 Cr2 F12,0,0,404.648384832484,1,0,[],1,P-1,triclinic
mvc-13239,TiF4,4.3462,0.074892597,Ti1 F4,0,0,1298.23352529062,0,0,[],1,P1,triclinic
mvc-14214,ZnCrF5,3.1168,0.042640477857143,Zn1 Cr1 F5,0,0,757.072426538974,1,0,[],1,C2/c,monoclinic
mvc-14359,CaAgF5,0,0.041684064761904,Ca1 Ag1 F5,0,0,661.896685698886,0,0,[],1,P2_1/c,monoclinic
mvc-14582,WF4,1.165,0,W1 F4,0,0,618.857576843884,0,0,[],1,P1,triclinic
mvc-15707,MgSbF6,0,0.07953797203125,Mg1 Sb1 F6,0,0,618.329741001606,0,0,[],1,R-3,trigonal
mvc-15785,YSnF5,3.1233,0.079506816428568,Y1 Sn1 F5,0,0,531.380767213764,0,0,[],1,Immm,orthorhombic
mvc-15844,MgSbF5,3.2453,0.125468361428569,Mg1 Sb1 F5,0,0,667.062102851219,0,0,[],1,C2/c,monoclinic
mvc-1612,Ba2Ti2CuF14,1.0256,0.046209268421058,Ba2 Ti2 Cu1 F14,0,0,229.743284305476,0,0,[],1,C2/c,monoclinic
mvc-1700,Ba2ZnCu3F14,0.0744,0,Ba2 Zn1 Cu3 F14,0,0,201.837969486891,0,0,[],1,C2/c,monoclinic
mvc-3419,CaTiF5,0.1844,0.026229644999988,Ca1 Ti1 F5,0,0,878.991051215135,0,0,[],1,P2_1/c,monoclinic
mvc-3478,YNiF5,2.246,0.208989133928572,Y1 Ni1 F5,0,0,662.843319346872,1,0,[],1,Immm,orthorhombic
mvc-3519,ZnFeF4,0.0051,0.094785955,Zn1 Fe1 F4,0,0,815.218991588222,0,0,[],1,Ibam,orthorhombic
